Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
APITestSuite,,,,2024-01-09 15:21:00,2024-01-09 15:21:25,24.929s,FAILED
,,,,,,,
Test Cases/APITestCases/LoginUser,,,,2024-01-09 15:21:01,2024-01-09 15:21:12,11.223s,PASSED
"sendRequest(findTestObject(""API_Pantheon/LoginUser""))",,,,2024-01-09 15:21:03,2024-01-09 15:21:10,7.332s,PASSED
Video,,,,2024-01-09 15:21:12,2024-01-09 15:21:12,0.003s,PASSED
,,,,,,,
Test Cases/APITestCases/RestTestCase,,,,2024-01-09 15:21:22,2024-01-09 15:21:25,2.980s,FAILED
"response = sendRequest(findTestObject(""API_Pantheon/restRequest""))",,,,2024-01-09 15:21:22,2024-01-09 15:21:23,0.857s,PASSED
"verifyElementPropertyValue(response, ""products[0].title"", ""iPhone"")",,,,2024-01-09 15:21:23,2024-01-09 15:21:23,0.065s,FAILED
Video,,,,2024-01-09 15:21:25,2024-01-09 15:21:25,0.001s,PASSED
